日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-20,1.023,1.03,1.034,1.011,1737892,178379462.957,2.27,1.88,0.019,156.12
2025-01-21,1.035,1.033,1.04,1.021,685778,70588544.539,1.84,0.29,0.003,61.61
2025-01-22,1.031,1.029,1.033,1.017,181232,18584761.174,1.55,-0.39,-0.004,16.28
2025-01-23,1.03,1.026,1.051,1.023,203705,21171235.696,2.72,-0.29,-0.003,18.3
2025-01-24,1.017,1.041,1.044,1.017,210326,21770269.84,2.63,1.46,0.015,18.89
2025-01-27,1.039,1.01,1.04,1.01,134627,13807342.954,2.88,-2.98,-0.031,12.09
2025-02-05,1.015,1.003,1.015,0.999,53671,5405575.014,1.58,-0.69,-0.007,4.82
2025-02-06,1.001,1.031,1.032,1.001,145868,14901207.918,3.09,2.79,0.028,13.1
2025-02-07,1.034,1.057,1.071,1.034,127057,13419535.716,3.59,2.52,0.026,11.41
2025-02-10,1.06,1.062,1.066,1.046,141681,14909800.174,1.89,0.47,0.005,12.73
2025-02-11,1.056,1.047,1.056,1.042,46840,4901902.347,1.32,-1.41,-0.015,4.21
2025-02-12,1.042,1.06,1.06,1.039,99657,10449667.602,2.01,1.24,0.013,8.95
2025-02-13,1.055,1.05,1.062,1.049,115375,12200449.771,1.23,-0.94,-0.01,10.36
2025-02-14,1.052,1.066,1.069,1.052,154319,16389811.463,1.62,1.52,0.016,13.86
2025-02-17,1.08,1.074,1.08,1.061,121036,12987928.304,1.78,0.75,0.008,10.87
2025-02-18,1.076,1.055,1.083,1.051,76583,8189911.762,2.98,-1.77,-0.019,6.88
2025-02-19,1.054,1.078,1.078,1.053,78615,8381391.658,2.37,2.18,0.023,7.06
2025-02-20,1.071,1.076,1.076,1.063,51768,5538278.175,1.21,-0.19,-0.002,4.65
2025-02-21,1.08,1.104,1.2,1.076,70025,7663697.67,11.52,2.6,0.028,6.29
2025-02-24,1.104,1.093,1.104,1.081,66164,7220044.481,2.08,-1.0,-0.011,5.94
2025-02-25,1.088,1.077,1.092,0.874,67035,7245482.589,19.95,-1.46,-0.016,6.02
2025-02-26,1.085,1.097,1.097,1.077,111696,12109850.9,1.86,1.86,0.02,10.03
