代码,名称,近1周2连跌,近1周3连跌,2连跌胜率%,2连跌均涨,3连跌胜率%,3连跌均涨,4连跌胜率%,4连跌均涨,5连跌胜率%,5连跌均涨
513730,未知,1,1,53.45,0.09,56.0,0.02,50.0,0.25,60.0,0.17
513300,未知,1,1,54.35,0.13,55.0,0.22,48.15,0.1,58.33,0.41
161125,未知,1,1,56.76,0.15,53.85,0.08,51.35,0.17,47.06,-0.79
513750,未知,1,1,40.32,-0.16,53.12,0.17,60.0,0.07,66.67,1.27
164824,未知,1,1,49.07,-0.03,49.49,-0.01,51.06,-0.07,50.0,0.1
501300,未知,1,1,45.62,0.02,48.31,0.12,52.78,0.23,30.77,-0.04
159696,未知,1,1,49.09,0.16,48.15,-0.0,30.77,-0.43,66.67,0.63
161127,未知,1,1,48.63,0.05,44.35,-0.07,48.48,-0.13,48.48,-0.53
161126,未知,1,1,47.56,0.02,43.59,-0.02,45.61,0.0,50.0,-0.16
513190,未知,0,1,48.48,-0.04,64.52,0.13,72.73,0.16,0.0,-0.3
159941,未知,0,1,54.73,0.16,55.06,0.1,45.95,-0.31,70.0,0.92
513140,未知,0,1,46.43,-0.02,54.76,-0.11,63.16,0.52,60.0,0.81
501025,未知,0,1,52.09,0.09,45.95,-0.05,64.41,0.3,52.63,0.35
159632,未知,0,1,51.85,0.1,39.47,-0.03,59.09,0.19,50.0,0.29
513390,未知,1,0,50.0,0.14,58.62,0.09,41.67,-0.42,57.14,0.18
513850,未知,1,0,57.14,0.2,55.0,-0.29,44.44,-0.27,50.0,0.56
159660,未知,1,0,46.15,0.11,54.55,0.08,46.67,-0.21,62.5,0.1
513030,未知,1,0,56.27,0.12,54.26,-0.01,60.71,0.15,45.45,-0.29
513500,未知,1,0,53.5,0.03,53.98,0.11,36.73,-0.28,60.71,0.34
159866,未知,1,0,53.1,0.14,53.23,0.22,52.0,0.03,70.0,0.54
513080,未知,1,0,58.0,0.1,52.54,0.18,53.57,0.13,66.67,0.74
513100,未知,1,0,54.61,0.2,52.43,0.13,44.44,0.04,52.38,0.38
513090,未知,1,0,44.57,-0.1,51.04,0.15,50.0,0.1,68.18,0.87
159509,未知,1,0,50.82,0.38,50.0,0.03,60.0,0.33,50.0,0.14
501225,未知,1,0,50.62,-0.04,50.0,0.03,38.89,-0.29,54.55,0.28
