代码,名称,近1周2连跌,近1周3连跌,全量2跌胜率%,全量2跌均涨,全量3跌胜率%,全量3跌均涨,全量4跌胜率%,全量4跌均涨,全量5跌胜率%,全量5跌均涨,近3年2跌胜率%,近3年2跌均涨,近3年3跌胜率%,近3年3跌均涨,近3年4跌胜率%,近3年4跌均涨,近3年5跌胜率%,近3年5跌均涨
513300,纳斯达克100ETF,1,1,54.35,0.12,55.0,0.22,48.15,0.1,58.33,0.41,36.84,-0.02,71.43,1.77,33.33,-0.12,0.0,-0.84
513730,未知,1,1,53.45,0.09,56.0,0.02,50.0,0.25,60.0,0.17,53.45,0.09,56.0,0.02,50.0,0.25,60.0,0.17
513750,未知,1,1,41.94,-0.11,51.61,0.16,60.0,0.07,66.67,1.27,41.94,-0.11,51.61,0.16,60.0,0.07,66.67,1.27
159696,未知,1,1,49.09,0.16,48.15,-0.0,30.77,-0.43,66.67,0.63,49.09,0.16,48.15,-0.0,30.77,-0.43,66.67,0.63
161126,未知,1,1,47.56,0.02,43.59,-0.02,45.61,0.0,50.0,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161127,未知,1,1,48.63,0.05,44.35,-0.07,48.48,-0.13,48.48,-0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161125,未知,1,1,56.56,0.15,53.85,0.08,51.35,0.17,47.06,-0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501300,未知,1,1,45.62,0.02,48.31,0.12,52.78,0.23,30.77,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164824,未知,1,1,49.07,-0.03,49.49,-0.01,51.06,-0.07,50.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513190,未知,0,1,48.48,-0.04,64.52,0.13,72.73,0.16,0.0,-0.3,48.48,-0.04,64.52,0.13,72.73,0.16,0.0,-0.3
159632,未知,0,1,51.85,0.1,39.47,-0.03,59.09,0.19,50.0,0.29,44.64,-0.1,38.1,-0.08,72.73,0.51,50.0,0.09
513140,未知,0,1,46.43,-0.02,54.76,-0.11,63.16,0.52,60.0,0.81,54.76,0.16,38.1,-0.0,66.67,0.39,60.0,0.71
159941,纳指ETF,0,1,54.73,0.16,55.06,0.1,45.95,-0.31,70.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501025,未知,0,1,52.09,0.09,45.95,-0.05,64.41,0.29,52.63,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513390,未知,1,0,50.0,0.14,58.62,0.09,41.67,-0.42,57.14,0.18,50.0,0.14,58.62,0.09,41.67,-0.42,57.14,0.18
513290,未知,1,0,58.24,0.12,45.45,0.11,50.0,-0.86,88.89,1.19,47.06,-0.01,56.0,0.12,75.0,0.64,75.0,0.87
513850,未知,1,0,57.14,0.2,55.0,-0.29,44.44,-0.27,50.0,0.56,57.14,0.2,55.0,-0.29,44.44,-0.27,50.0,0.56
159660,未知,1,0,46.15,0.11,54.55,0.08,46.67,-0.21,62.5,0.1,46.15,0.11,54.55,0.08,46.67,-0.21,62.5,0.1
513090,未知,1,0,44.57,-0.1,51.04,0.15,50.0,0.1,68.18,0.87,50.0,0.47,50.0,-0.71,50.0,1.6,100.0,5.93
159509,未知,1,0,50.82,0.38,50.0,0.03,60.0,0.33,50.0,0.14,50.82,0.38,50.0,0.03,60.0,0.33,50.0,0.14
513080,未知,1,0,57.72,0.09,52.54,0.18,53.57,0.13,66.67,0.75,44.44,0.28,50.0,-0.25,100.0,1.23,100.0,0.17
159502,未知,1,0,64.29,0.36,50.0,0.03,50.0,-0.81,25.0,-0.75,64.29,0.36,50.0,0.03,50.0,-0.81,25.0,-0.75
159333,未知,1,0,60.61,0.05,50.0,0.11,50.0,0.2,0.0,-1.64,60.61,0.05,50.0,0.11,50.0,0.2,0.0,-1.64
501225,未知,1,0,51.85,-0.03,48.65,0.03,38.89,-0.29,54.55,0.28,51.85,-0.03,48.65,0.03,38.89,-0.29,54.55,0.28
513910,未知,1,0,60.0,0.06,46.15,-0.24,57.14,0.3,50.0,-0.75,60.0,0.06,46.15,-0.24,57.14,0.3,50.0,-0.75
159866,未知,1,0,53.1,0.14,53.23,0.22,52.0,0.03,70.0,0.54,28.12,-0.28,41.67,-0.09,33.33,0.04,50.0,-0.34
520890,未知,1,0,56.25,0.28,41.67,-0.09,28.57,-0.17,100.0,0.58,56.25,0.28,41.67,-0.09,28.57,-0.17,100.0,0.58
513310,未知,1,0,45.0,-0.23,47.73,0.14,43.48,0.11,61.54,0.3,53.95,0.49,40.48,-0.33,31.82,-0.45,61.54,0.07
513100,未知,1,0,54.61,0.2,52.43,0.13,44.44,0.04,52.38,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513030,德国ETF,1,0,56.27,0.12,54.26,-0.01,60.71,0.15,45.45,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161128,未知,1,0,55.13,0.24,47.42,-0.09,50.0,-0.01,47.83,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162415,未知,1,0,52.9,0.04,47.41,-0.08,50.0,0.1,40.74,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513500,标普500ETF,1,0,53.5,0.03,53.98,0.11,36.73,-0.28,60.71,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159740,未知,0,0,48.98,-0.16,54.17,0.41,55.17,0.19,46.15,0.16,43.18,-0.07,73.68,0.92,77.78,0.67,50.0,0.81
520660,未知,0,0,52.78,0.2,66.67,0.16,40.0,0.18,0.0,-2.06,52.78,0.2,66.67,0.16,40.0,0.18,0.0,-2.06
513630,未知,0,0,67.24,0.29,66.67,0.18,60.0,0.1,100.0,0.74,67.24,0.29,66.67,0.18,60.0,0.1,100.0,0.74
159726,未知,0,0,52.5,-0.14,58.0,0.13,63.16,0.59,40.0,-0.18,62.26,0.32,66.67,0.25,45.45,-0.16,0.0,-0.33
513980,未知,0,0,52.11,-0.17,48.33,0.21,48.0,-0.2,50.0,-0.44,35.42,-0.09,64.71,0.43,20.0,-1.49,50.0,0.25
159545,未知,0,0,60.0,0.09,64.71,0.25,0.0,-0.35,75.0,-0.13,60.0,0.09,64.71,0.25,0.0,-0.35,75.0,-0.13
513810,未知,0,0,60.61,0.06,64.0,0.3,44.44,-0.02,60.0,-0.15,60.61,0.06,64.0,0.3,44.44,-0.02,60.0,-0.15
513990,未知,0,0,50.31,-0.1,49.33,0.2,41.67,-0.15,61.9,0.37,46.67,-0.02,63.64,0.3,50.0,0.05,25.0,-0.58
159788,未知,0,0,41.44,-0.25,52.63,0.15,56.0,0.19,50.0,0.24,50.0,-0.14,63.33,0.29,50.0,-0.02,40.0,-0.06
513580,未知,0,0,48.32,-0.09,54.17,0.42,60.0,0.12,58.33,0.01,44.44,-0.0,63.16,0.65,72.73,0.37,100.0,1.34
159568,未知,0,0,54.72,0.05,62.5,0.05,71.43,1.24,50.0,1.21,54.72,0.05,62.5,0.05,71.43,1.24,50.0,1.21
159518,未知,0,0,52.24,0.22,62.07,0.02,27.27,-0.83,16.67,0.6,52.24,0.22,62.07,0.02,27.27,-0.83,16.67,0.6
159529,未知,0,0,51.92,0.36,61.9,0.4,28.57,-1.53,60.0,0.87,51.92,0.36,61.9,0.4,28.57,-1.53,60.0,0.87
501312,未知,0,0,51.39,-0.0,61.76,0.14,46.15,-0.22,33.33,-0.26,51.39,-0.0,61.76,0.14,46.15,-0.22,33.33,-0.26
