代码,名称,战法评分,当前连跌天数,近1周2连跌,近1周3连跌,近1周4连跌,全量2跌胜率%,全量2跌均涨,全量3跌胜率%,全量3跌均涨,全量4跌胜率%,全量4跌均涨,全量5跌胜率%,全量5跌均涨,近3年2跌胜率%,近3年2跌均涨,近3年3跌胜率%,近3年3跌均涨,近3年4跌胜率%,近3年4跌均涨,近3年5跌胜率%,近3年5跌均涨
513300,纳斯达克ETF,⭐⭐⭐⭐,2,1,1,1,54.35,0.12,55.0,0.22,48.15,0.1,58.33,0.41,36.84,-0.02,71.43,1.77,33.33,-0.12,0.0,-0.84
513190,港股通金融ETF,⭐⭐⭐⭐,0,0,1,0,48.48,-0.04,64.52,0.13,72.73,0.16,0.0,-0.3,48.48,-0.04,64.52,0.13,72.73,0.16,0.0,-0.3
513730,东南亚科技ETF,⭐⭐⭐⭐,0,1,1,0,53.45,0.09,56.0,0.02,50.0,0.25,60.0,0.17,53.45,0.09,56.0,0.02,50.0,0.25,60.0,0.17
159941,纳指ETF,⭐⭐⭐⭐,0,0,1,1,54.73,0.16,55.06,0.1,45.95,-0.31,70.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159100,巴西ETF,⭐⭐⭐,0,1,0,0,66.67,0.94,100.0,0.21,0.0,0.0,0.0,0.0,66.67,0.94,100.0,0.21,0.0,0.0,0.0,0.0
159740,恒生科技ETF,无信号,1,0,0,0,48.98,-0.16,54.17,0.41,55.17,0.19,46.15,0.16,43.18,-0.07,73.68,0.92,77.78,0.67,50.0,0.81
520660,港股通央企红利ETF南方,无信号,0,0,0,0,52.78,0.2,66.67,0.16,40.0,0.18,0.0,-2.06,52.78,0.2,66.67,0.16,40.0,0.18,0.0,-2.06
513630,港股红利指数ETF,无信号,0,0,0,0,67.24,0.29,66.67,0.18,60.0,0.1,100.0,0.74,67.24,0.29,66.67,0.18,60.0,0.1,100.0,0.74
159726,恒生红利ETF,无信号,0,0,0,0,52.5,-0.14,58.0,0.13,63.16,0.59,40.0,-0.18,62.26,0.32,66.67,0.25,45.45,-0.16,0.0,-0.33
513980,港股科技50ETF,无信号,1,0,0,0,52.11,-0.17,48.33,0.21,48.0,-0.2,50.0,-0.44,35.42,-0.09,64.71,0.43,20.0,-1.49,50.0,0.25
159545,恒生红利低波ETF,无信号,0,0,0,0,60.0,0.09,64.71,0.25,0.0,-0.35,75.0,-0.13,60.0,0.09,64.71,0.25,0.0,-0.35,75.0,-0.13
513810,港股国企ETF,无信号,0,0,0,0,60.61,0.06,64.0,0.3,44.44,-0.02,60.0,-0.15,60.61,0.06,64.0,0.3,44.44,-0.02,60.0,-0.15
513990,港股通ETF,无信号,1,0,0,0,50.31,-0.1,49.33,0.2,41.67,-0.15,61.9,0.37,46.67,-0.02,63.64,0.3,50.0,0.05,25.0,-0.58
159788,港股通100ETF,无信号,1,0,0,0,41.44,-0.25,52.63,0.15,56.0,0.19,50.0,0.24,50.0,-0.14,63.33,0.29,50.0,-0.02,40.0,-0.06
