代码,名称,近一周连跌2天,近一周连跌3天,2连跌后胜率,2连跌后均涨幅,3连跌后胜率,3连跌后均涨幅,4连跌后胜率,4连跌后均涨幅,5连跌后胜率,5连跌后均涨幅
161126,未知,1,1,0.4756,0.0206,0.4359,-0.0193,0.4561,0.0018,0.5,-0.156
513730,未知,1,1,0.5345,0.0941,0.56,0.0176,0.5,0.253,0.6,0.174
161127,未知,1,1,0.4863,0.0451,0.4435,-0.0665,0.4848,-0.1317,0.4848,-0.5261
161125,未知,1,1,0.5656,0.1475,0.5385,0.0824,0.5135,0.1657,0.4706,-0.7865
513300,未知,1,1,0.5435,0.1251,0.55,0.219,0.4815,0.0978,0.5833,0.4092
159696,未知,1,1,0.4909,0.1605,0.4815,-0.0011,0.3077,-0.4285,0.6667,0.6333
513750,未知,1,1,0.4194,-0.1068,0.5161,0.1568,0.6,0.07,0.6667,1.275
501300,未知,1,1,0.4562,0.0185,0.4831,0.1164,0.5278,0.2289,0.3077,-0.0438
164824,未知,1,1,0.4907,-0.0331,0.4949,-0.0084,0.5106,-0.067,0.5,0.1025
159632,未知,0,1,0.5185,0.0963,0.3947,-0.0308,0.5909,0.1873,0.5,0.29
513140,未知,0,1,0.4643,-0.0244,0.5476,-0.1095,0.6316,0.5195,0.6,0.812
159941,未知,0,1,0.5473,0.1553,0.5506,0.1035,0.4595,-0.3068,0.7,0.918
501025,未知,0,1,0.5209,0.0893,0.4595,-0.0484,0.6441,0.2951,0.5263,0.3453
513190,未知,0,1,0.4848,-0.0388,0.6452,0.13,0.7273,0.1636,0.0,-0.295
159660,未知,1,0,0.4615,0.1062,0.5455,0.0806,0.4667,-0.2133,0.625,0.0975
513310,未知,1,0,0.45,-0.2255,0.4773,0.142,0.4348,0.1065,0.6154,0.3008
513100,未知,1,0,0.5461,0.2003,0.5243,0.1331,0.4444,0.0353,0.5238,0.3795
513090,未知,1,0,0.4457,-0.1011,0.5104,0.1517,0.5,0.1014,0.6818,0.8745
513030,未知,1,0,0.5627,0.1196,0.5426,-0.0074,0.6071,0.1452,0.4545,-0.2932
159866,未知,1,0,0.531,0.1388,0.5323,0.2203,0.52,0.0296,0.7,0.541
513390,未知,1,0,0.5,0.1417,0.5862,0.0852,0.4167,-0.4242,0.5714,0.1786
159509,未知,1,0,0.5082,0.3823,0.5,0.0327,0.6,0.328,0.5,0.1433
513910,未知,1,0,0.6,0.0588,0.4615,-0.2408,0.5714,0.3,0.5,-0.745
513850,未知,1,0,0.5714,0.1968,0.55,-0.2945,0.4444,-0.2733,0.5,0.5625
